file,group,period,genre,omens,excluded
BM.121034.txt,corpus,Middle Period,astrological omens,51,False
Emar.651.txt,corpus,Middle Period,astrological omens,36,False
Emar.652.txt,corpus,Middle Period,astrological omens,3,False
Emar.653.txt,corpus,Middle Period,astrological omens,13,False
KBo.13.27.txt,corpus,Middle Period,astrological omens,10,False
KUB.4.64.txt,corpus,Middle Period,astrological omens,30,False
MS.3119.txt,corpus,Middle Period,astrological omens,16,False
CBS.12580.txt,corpus,Middle Period,diagnostic omens,9,False
CBS.3424.txt,corpus,Middle Period,diagnostic omens,11,False
Emar.694.txt,corpus,Middle Period,diagnostic omens,23,False
Emar.695.txt,corpus,Middle Period,diagnostic omens,13,False
IM.57947.txt,corpus,Middle Period,diagnostic omens,38,False
MDP57.txt,corpus,Middle Period,diagnostic omens,18,False
Ni.470.txt,corpus,Middle Period,diagnostic omens,11,False
StBoT36.A.txt,corpus,Middle Period,diagnostic omens,35,False
StBoT36.B.txt,corpus,Middle Period,diagnostic omens,21,False
StBoT36.C.txt,corpus,Middle Period,diagnostic omens,16,False
VAT.10235.txt,corpus,Middle Period,diagnostic omens,12,False
VAT.10748.txt,corpus,Middle Period,diagnostic omens,9,False
VAT.11122.txt,corpus,Middle Period,diagnostic omens,9,False
A.442.txt,corpus,Middle Period,extispicy omens,30,False
A.443.txt,corpus,Middle Period,extispicy omens,19,False
AO.7264.txt,corpus,Middle Period,extispicy omens,38,False
Ass.2001.D-1823.txt,corpus,Middle Period,extispicy omens,17,False
CUSAS-18.23.txt,corpus,Middle Period,extispicy omens,54,False
CUSAS-18.24.txt,corpus,Middle Period,extispicy omens,36,False
CUSAS-18.25.txt,corpus,Middle Period,extispicy omens,34,False
CUSAS-18.26.txt,corpus,Middle Period,extispicy omens,38,False
CUSAS-18.28.txt,corpus,Middle Period,extispicy omens,38,False
CUSAS-18.31.txt,corpus,Middle Period,extispicy omens,72,False
CUSAS-18.33.txt,corpus,Middle Period,extispicy omens,29,False
Emar.669.txt,corpus,Middle Period,extispicy omens,40,False
Emar.670.txt,corpus,Middle Period,extispicy omens,34,False
HS.1951.txt,corpus,Middle Period,extispicy omens,8,False
K.205.txt,corpus,Middle Period,extispicy omens,88,False
VAT.10125.txt,corpus,Middle Period,extispicy omens,114,False
VAT.10142.txt,corpus,Middle Period,extispicy omens,38,False
VAT.10159.txt,corpus,Middle Period,extispicy omens,54,False
VAT.10206.txt,corpus,Middle Period,extispicy omens,20,False
VAT.10331.txt,corpus,Middle Period,extispicy omens,11,False
VAT.10418.txt,corpus,Middle Period,extispicy omens,50,False
VAT.10424.txt,corpus,Middle Period,extispicy omens,33,False
VAT.10536.txt,corpus,Middle Period,extispicy omens,38,False
VAT.10711.txt,corpus,Middle Period,extispicy omens,13,False
VAT.10740.txt,corpus,Middle Period,extispicy omens,12,False
VAT.10788.txt,corpus,Middle Period,extispicy omens,40,False
VAT.10869.txt,corpus,Middle Period,extispicy omens,10,False
VAT.10914.txt,corpus,Middle Period,extispicy omens,17,False
VAT.11034.txt,corpus,Middle Period,extispicy omens,8,False
VAT.11331.txt,corpus,Middle Period,extispicy omens,7,False
VAT.11445.txt,corpus,Middle Period,extispicy omens,7,False
VAT.12215.txt,corpus,Middle Period,extispicy omens,7,False
VAT.17061.txt,corpus,Middle Period,extispicy omens,12,False
VAT.8710.txt,corpus,Middle Period,extispicy omens,61,False
VAT.9570.txt,corpus,Middle Period,extispicy omens,19,False
VAT.9577.txt,corpus,Middle Period,extispicy omens,18,False
VAT.9600.txt,corpus,Middle Period,extispicy omens,12,False
Ankara-10605.txt,corpus,Middle Period,izbu omens,1,False
Bogh-1959-56.txt,corpus,Middle Period,izbu omens,4,False
KUB29-12.txt,corpus,Middle Period,izbu omens,1,False
KUB37-183.txt,corpus,Middle Period,izbu omens,4,False
