file,omen,language,bin,macro,micro,pure,mixed,syll
EAE57.eBL.txt,1,akkadian,0.7,0.857,0.8,5,2,0
EAE57.eBL.txt,10,akkadian,0.625,0.655,0.591,8,2,4
EAE57.eBL.txt,100,akkadian,0.714,0.833,0.889,5,0,1
EAE57.eBL.txt,101,akkadian,0.6,0.81,0.867,5,1,1
EAE57.eBL.txt,102,akkadian,0.625,0.778,0.857,4,1,1
EAE57.eBL.txt,103,akkadian,0.7,0.875,0.909,7,0,1
EAE57.eBL.txt,104,akkadian,0.7,0.875,0.909,7,0,1
EAE57.eBL.txt,105,akkadian,0.667,0.857,0.9,6,0,1
EAE57.eBL.txt,106,akkadian,0.6,0.75,0.786,6,0,2
EAE57.eBL.txt,107,akkadian,0.615,0.727,0.75,8,0,3
EAE57.eBL.txt,108,akkadian,0.833,0.833,0.684,8,2,1
EAE57.eBL.txt,109,akkadian,0.769,0.833,0.882,10,0,2
EAE57.eBL.txt,11,akkadian,0.647,0.644,0.583,8,3,4
EAE57.eBL.txt,110,akkadian,0.692,0.85,0.889,8,1,1
EAE57.eBL.txt,111,akkadian,0.667,0.656,0.591,9,3,4
EAE57.eBL.txt,112,akkadian,0.692,0.773,0.714,8,1,2
EAE57.eBL.txt,113,akkadian,0.692,0.773,0.714,8,1,2
EAE57.eBL.txt,114,akkadian,0.769,0.864,0.846,9,1,1
EAE57.eBL.txt,115,akkadian,0.75,0.688,0.583,5,1,2
EAE57.eBL.txt,116,akkadian,0.7,0.812,0.84,12,2,2
EAE57.eBL.txt,117,akkadian,0.769,0.864,0.857,9,1,1
EAE57.eBL.txt,118,akkadian,0.8,0.75,0.75,9,3,2
EAE57.eBL.txt,119,akkadian,0.818,1.0,1.0,9,0,0
EAE57.eBL.txt,12,sumerian,0.111,0.143,0.071,1,0,6
EAE57.eBL.txt,120,akkadian,0.4,0.5,0.333,2,0,2
EAE57.eBL.txt,121,akkadian,0.571,0.667,0.5,4,0,2
EAE57.eBL.txt,13,sumerian,0.077,0.091,0.038,1,0,10
EAE57.eBL.txt,14,akkadian,0.6,0.818,0.857,9,0,2
EAE57.eBL.txt,15,akkadian,0.667,0.889,0.917,8,0,1
EAE57.eBL.txt,16,akkadian,0.6,0.786,0.778,5,1,1
EAE57.eBL.txt,17,akkadian,0.538,0.722,0.714,6,1,2
EAE57.eBL.txt,18,akkadian,0.7,0.812,0.8,6,1,1
EAE57.eBL.txt,19,akkadian,0.6,0.688,0.5,5,1,2
EAE57.eBL.txt,2,akkadian,0.4,0.667,0.4,2,0,1
EAE57.eBL.txt,20,akkadian,0.6,0.688,0.545,5,1,2
EAE57.eBL.txt,21,akkadian,0.6,0.75,0.75,6,0,2
EAE57.eBL.txt,22,akkadian,0.583,0.778,0.643,7,0,2
EAE57.eBL.txt,23,akkadian,0.583,0.65,0.643,6,1,3
EAE57.eBL.txt,24,akkadian,0.714,0.792,0.824,9,1,2
EAE57.eBL.txt,25,akkadian,0.714,0.792,0.737,9,1,2
EAE57.eBL.txt,26,akkadian,0.6,0.607,0.5,8,1,5
EAE57.eBL.txt,27,akkadian,0.737,0.794,0.682,13,1,3
EAE57.eBL.txt,28,sumerian,0.077,0.083,0.042,1,0,11
EAE57.eBL.txt,29,akkadian,0.6,0.75,0.727,6,0,2
EAE57.eBL.txt,3,akkadian,0.375,0.6,0.375,3,0,2
EAE57.eBL.txt,30,akkadian,0.75,0.786,0.636,5,1,1
EAE57.eBL.txt,31,akkadian,0.615,0.636,0.611,6,2,3
EAE57.eBL.txt,32,akkadian,0.417,0.556,0.5,5,0,4
EAE57.eBL.txt,33,akkadian,0.7,0.875,0.909,7,0,1
EAE57.eBL.txt,34,akkadian,0.444,0.571,0.417,4,0,3
EAE57.eBL.txt,35,akkadian,0.556,0.714,0.692,5,0,2
EAE57.eBL.txt,36,akkadian,0.692,0.788,0.812,8,1,2
EAE57.eBL.txt,37,akkadian,0.688,0.786,0.833,11,0,3
EAE57.eBL.txt,38,akkadian,0.562,0.692,0.643,9,0,4
EAE57.eBL.txt,39,akkadian,0.625,0.769,0.769,10,0,3
EAE57.eBL.txt,4,akkadian,0.429,0.6,0.333,3,0,2
EAE57.eBL.txt,40,akkadian,0.688,0.7,0.579,10,1,4
EAE57.eBL.txt,41,akkadian,0.444,0.5,0.333,4,0,4
EAE57.eBL.txt,42,akkadian,0.692,0.583,0.55,5,4,3
EAE57.eBL.txt,43,akkadian,0.583,0.875,0.846,7,0,1
EAE57.eBL.txt,44,akkadian,0.562,0.667,0.647,7,2,3
EAE57.eBL.txt,45,akkadian,0.5,0.682,0.688,7,1,3
EAE57.eBL.txt,46,akkadian,0.571,0.682,0.529,7,1,3
EAE57.eBL.txt,47,akkadian,0.462,0.6,0.571,6,0,4
EAE57.eBL.txt,48,akkadian,0.667,0.625,0.5,4,2,2
EAE57.eBL.txt,49,akkadian,0.6,0.625,0.538,4,2,2
EAE57.eBL.txt,5,akkadian,0.5,0.8,0.625,4,0,1
EAE57.eBL.txt,50,akkadian,0.667,0.857,0.8,6,0,1
EAE57.eBL.txt,51,akkadian,0.667,0.75,0.714,7,1,2
EAE57.eBL.txt,52,akkadian,0.667,0.857,0.818,6,0,1
EAE57.eBL.txt,53,akkadian,0.5,0.548,0.541,10,3,8
EAE57.eBL.txt,54,akkadian,0.75,1.0,1.0,6,0,0
EAE57.eBL.txt,55,akkadian,0.583,0.7,0.625,7,0,3
EAE57.eBL.txt,56,akkadian,0.524,0.551,0.462,17,5,14
EAE57.eBL.txt,57,akkadian,0.75,0.867,0.857,8,1,1
EAE57.eBL.txt,58,akkadian,0.636,0.667,0.667,5,2,2
EAE57.eBL.txt,59,akkadian,0.667,0.786,0.778,5,1,1
EAE57.eBL.txt,6,akkadian,0.769,1.0,1.0,10,0,0
EAE57.eBL.txt,60,akkadian,0.5,0.667,0.714,4,0,2
EAE57.eBL.txt,61,akkadian,0.4,0.667,0.6,4,0,2
EAE57.eBL.txt,62,akkadian,0.625,0.75,0.667,4,1,1
EAE57.eBL.txt,63,akkadian,0.6,0.667,0.5,6,0,3
EAE57.eBL.txt,64,akkadian,0.375,0.5,0.636,3,0,3
EAE57.eBL.txt,65,akkadian,0.636,0.667,0.667,5,2,2
EAE57.eBL.txt,66,akkadian,0.556,0.643,0.538,4,1,2
EAE57.eBL.txt,67,akkadian,0.545,0.611,0.611,5,1,3
EAE57.eBL.txt,68,akkadian,0.5,0.667,0.667,4,0,2
EAE57.eBL.txt,69,akkadian,0.8,0.917,0.889,10,2,0
EAE57.eBL.txt,7,akkadian,0.7,0.875,0.846,7,0,1
EAE57.eBL.txt,70,akkadian,0.615,0.889,0.917,8,0,1
EAE57.eBL.txt,71,akkadian,0.6,0.857,0.9,6,0,1
EAE57.eBL.txt,72,akkadian,0.667,0.857,0.889,6,0,1
EAE57.eBL.txt,73,akkadian,0.727,0.889,0.923,8,0,1
EAE57.eBL.txt,74,akkadian,0.727,0.833,0.818,7,1,1
EAE57.eBL.txt,75,akkadian,0.333,0.429,0.4,3,0,4
EAE57.eBL.txt,76,akkadian,0.455,0.625,0.615,5,0,3
EAE57.eBL.txt,77,akkadian,0.364,0.5,0.455,4,0,4
EAE57.eBL.txt,78,sumerian,0.083,0.091,0.048,1,0,10
EAE57.eBL.txt,79,akkadian,1.0,1.0,1.0,1,0,0
EAE57.eBL.txt,8,akkadian,0.7,0.875,0.9,7,0,1
EAE57.eBL.txt,80,akkadian,1.0,1.0,1.0,1,0,0
EAE57.eBL.txt,81,akkadian,0.5,0.5,0.333,1,0,1
EAE57.eBL.txt,82,akkadian,0.625,0.833,0.929,5,0,1
EAE57.eBL.txt,83,sumerian,0.111,0.125,0.053,1,0,7
EAE57.eBL.txt,84,akkadian,0.412,0.467,0.324,7,0,8
EAE57.eBL.txt,85,akkadian,0.6,0.625,0.625,2,1,1
EAE57.eBL.txt,86,akkadian,0.7,0.722,0.692,6,1,2
EAE57.eBL.txt,87,akkadian,0.857,1.0,1.0,6,0,0
EAE57.eBL.txt,88,akkadian,0.5,0.6,0.556,3,0,2
EAE57.eBL.txt,89,akkadian,0.5,0.667,0.625,4,0,2
EAE57.eBL.txt,9,akkadian,0.7,0.875,0.889,7,0,1
EAE57.eBL.txt,90,akkadian,0.429,0.6,0.571,3,0,2
EAE57.eBL.txt,91,akkadian,0.286,0.4,0.333,2,0,3
EAE57.eBL.txt,92,akkadian,0.7,0.75,0.68,10,4,2
EAE57.eBL.txt,93,akkadian,0.7,0.812,0.8,6,1,1
EAE57.eBL.txt,94,akkadian,1.0,0.889,0.846,4,2,0
EAE57.eBL.txt,95,akkadian,0.5,0.562,0.375,4,1,3
EAE57.eBL.txt,96,akkadian,0.6,0.688,0.636,5,1,2
EAE57.eBL.txt,97,akkadian,0.833,0.778,0.818,4,1,1
EAE57.eBL.txt,98,akkadian,0.714,0.667,0.6,4,1,2
EAE57.eBL.txt,99,akkadian,0.571,0.538,0.444,6,2,5
