Nr,tablet,date,period,tradition,babylon_copy,LDI,tokens
1,VAT 9934 (Kopie: S. 367-,neuassyrisch,NA,Ass,False,0.711,2966
2,VAT 10156 (Kopie: S. 381,frühmittelbaby,?,?,False,0.322,267
3,VAT 9599 (Kopie: KAR 432,mittelbabyloni,MB,Bab,True,0.563,135
4,VAT 13797 (Kopie: S. 382,mittelassyrisc,MA,Ass,False,0.798,504
5,A 63 (Kopie: S. 383)    ,mittelassyrisc,MA,Ass,False,0.593,54
6,VAT 10669 (KAR 443)     ,mittelassyrisc,MA,Ass,False,0.712,139
7,VAT 10757 (KAR 435)     ,frühneuassyris,eNA,Ass,False,0.595,42
8,VAT 9512 (Kopie: S. 384),mittelbabyloni,MB,Bab,False,0.745,231
9,VAT 9560 (Kopie: S. 385),mittelbabyloni,MB,Bab,False,0.667,18
10,VAT 9949 (+) VAT 11051 (,mittelassyrisc,MA,Ass,False,0.690,210
11,VAT 10488 (Kopie: S. 388,frühneuassyris,eNA,Ass,False,0.721,43
15,VAT 11552 (KAR 417) = C ,mittelassyrisc,MA,Ass,False,0.777,538
16,VAT 11331 + VAT 12262 (K,mittelassyrisc,MA,Ass,False,0.811,53
17,VAT 12215 (Kopie: S. 389,mittelassyrisc,MA,Ass,False,0.950,20
18,VAT 10788 (KAR          ,mittelbabyloni,MB,Bab,False,0.701,278
19,VAT 13803 + VAT 13810 (K,neuassyrisch,NA,Ass,False,0.693,1164
20,VAT 10711 (KAR 440)     ,mittelassyrisc,MA,Ass,False,0.738,107
21,VAT 10424 + VAT 11408 (K,mittelassyrisc,MA,Ass,False,0.595,227
22,VAT 10765 (Kopie und Pho,mittelbabyloni,MB,Bab,False,0.643,129
23,A 73 (oder A       79?; ,mittelbabyloni,MB,Bab,False,0.706,571
25,VAT 10678 + VAT 10712 + ,mittelassyrisc,MA,Ass,False,0.651,235
26,VAT 10868 (KAR 442)     ,mittelassyrisc,MA,Ass,False,0.731,405
27,VAT 11007 (Kopie: S. 403,frühneuassyris,eNA,Ass,False,0.663,95
28,VAT 9570 (KAR 450)      ,mittelbabyloni,MB,Bab,False,0.789,90
29,VAT 10914 (Kopie: S. 404,mittelbabyloni,MB,Bab,False,0.667,105
30,VAT 8611 (Kopie: S. 405),neuassyrisch,NA,Ass,True,0.220,354
31,AO 7264                 ,mittelassyrisc,MA,Ass,False,0.723,404
32,VAT 9577 (KAR 449)      ,mittelassyrisc,MA,Ass,False,0.881,84
33,Ass. 2001.D-1823 (Kopie:,mittelassyrisc,MA,Ass,False,0.811,196
